Month,Kim Kardashian: (Worldwide),Kylie Jenner: (Worldwide),Khloé Kardashian: (Worldwide),Kendall Jenner: (Worldwide),Kourtney Kardashian: (Worldwide)
2004-01,1,2,<1,<1,<1
2004-02,1,2,0,<1,0
2004-03,1,2,<1,<1,<1
2004-04,1,1,<1,<1,0
2004-05,1,2,<1,<1,<1
2004-06,2,1,0,<1,<1
2004-07,1,1,<1,<1,<1
2004-08,1,1,<1,<1,<1
2004-09,1,1,<1,<1,<1
2004-10,1,2,<1,<1,<1
2004-11,1,2,<1,<1,0
2004-12,1,3,<1,<1,<1
2005-01,1,2,<1,<1,<1
2005-02,1,1,<1,<1,<1
2005-03,1,2,<1,<1,<1
2005-04,1,2,<1,<1,<1
2005-05,1,3,<1,<1,<1
2005-06,1,1,<1,<1,<1
2005-07,1,1,<1,<1,<1
2005-08,1,1,<1,<1,<1
2005-09,1,1,<1,<1,<1
2005-10,1,1,<1,<1,<1
2005-11,1,1,<1,<1,<1
2005-12,1,1,<1,<1,<1
2006-01,1,1,<1,<1,<1
2006-02,1,1,<1,<1,<1
2006-03,1,1,0,<1,<1
2006-04,1,1,<1,<1,<1
2006-05,1,1,<1,<1,<1
2006-06,2,1,<1,<1,<1
2006-07,1,1,<1,<1,<1
2006-08,1,1,<1,<1,<1
2006-09,1,1,<1,<1,<1
2006-10,1,1,<1,<1,<1
2006-11,1,1,<1,<1,<1
2006-12,2,1,<1,<1,<1
2007-01,3,1,<1,<1,<1
2007-02,12,1,<1,<1,<1
2007-03,10,1,<1,<1,<1
2007-04,6,1,<1,<1,<1
2007-05,6,1,<1,<1,<1
2007-06,5,1,<1,<1,<1
2007-07,7,1,<1,<1,<1
2007-08,6,1,<1,<1,<1
2007-09,7,1,<1,<1,<1
2007-10,15,1,<1,<1,<1
2007-11,19,1,<1,<1,<1
2007-12,17,1,<1,<1,1
2008-01,15,1,<1,<1,<1
2008-02,10,1,<1,<1,<1
2008-03,14,1,<1,<1,<1
2008-04,17,1,<1,<1,<1
2008-05,15,1,<1,<1,<1
2008-06,13,1,<1,<1,<1
2008-07,13,1,1,<1,<1
2008-08,15,1,<1,<1,<1
2008-09,14,1,<1,<1,<1
2008-10,14,1,<1,<1,<1
2008-11,11,1,<1,<1,<1
2008-12,13,1,1,<1,<1
2009-01,13,<1,<1,<1,<1
2009-02,11,<1,<1,<1,<1
2009-03,14,<1,1,<1,1
2009-04,15,<1,1,<1,1
2009-05,15,<1,1,<1,1
2009-06,12,<1,1,<1,1
2009-07,15,<1,1,<1,1
2009-08,16,<1,2,<1,4
2009-09,14,<1,6,<1,3
2009-10,13,<1,4,<1,2
2009-11,14,<1,3,<1,1
2009-12,16,1,4,<1,4
2010-01,18,1,2,<1,2
2010-02,20,<1,2,1,3
2010-03,17,<1,2,<1,2
2010-04,25,<1,2,<1,2
2010-05,20,1,2,<1,1
2010-06,21,1,4,1,2
2010-07,21,1,3,1,3
2010-08,26,1,4,2,4
2010-09,25,1,2,1,2
2010-10,27,1,2,1,2
2010-11,21,1,2,1,2
2010-12,25,1,3,1,2
2011-01,25,1,3,1,3
2011-02,34,1,2,1,3
2011-03,22,1,2,1,2
2011-04,18,1,4,1,2
2011-05,22,1,4,1,2
2011-06,25,1,5,1,2
2011-07,22,1,3,1,2
2011-08,47,1,3,3,3
2011-09,27,1,3,2,2
2011-10,36,1,3,1,2
2011-11,51,1,3,2,3
2011-12,30,1,4,2,5
2012-01,26,1,6,2,4
2012-02,24,1,4,2,3
2012-03,25,1,4,2,3
2012-04,27,1,5,2,3
2012-05,27,1,5,2,3
2012-06,32,2,3,2,4
2012-07,26,2,3,3,7
2012-08,28,2,3,3,5
2012-09,26,2,4,2,4
2012-10,24,1,4,2,3
2012-11,23,1,5,2,3
2012-12,28,1,3,2,2
2013-01,37,2,4,2,4
2013-02,29,2,3,2,3
2013-03,31,2,3,2,3
2013-04,35,2,3,3,3
2013-05,30,2,3,2,2
2013-06,65,2,4,3,3
2013-07,29,3,5,3,3
2013-08,28,4,7,3,4
2013-09,22,2,7,2,2
2013-10,32,3,7,3,2
2013-11,28,3,5,7,2
2013-12,26,3,7,6,2
2014-01,24,3,6,6,2
2014-02,22,3,5,7,2
2014-03,24,3,5,4,2
2014-04,24,4,4,4,2
2014-05,36,6,5,5,2
2014-06,30,5,6,6,5
2014-07,33,5,6,4,3
2014-08,34,6,5,5,3
2014-09,44,5,4,6,3
2014-10,27,6,4,4,2
2014-11,100,8,7,5,4
2014-12,39,7,6,6,8
2015-01,32,10,5,6,4
2015-02,40,12,7,7,3
2015-03,37,10,5,6,3
2015-04,30,27,5,10,3
2015-05,32,16,5,9,3
2015-06,35,14,5,8,3
2015-07,31,17,7,8,9
2015-08,32,25,6,9,4
2015-09,26,21,5,7,3
2015-10,26,14,13,7,5
2015-11,23,18,7,11,4
2015-12,36,19,7,9,8
2016-01,24,15,8,11,5
2016-02,26,16,8,8,4
2016-03,43,15,5,8,4
2016-04,24,18,5,8,3
2016-05,23,20,5,7,4
2016-06,23,17,7,7,3
2016-07,29,19,6,7,4
2016-08,25,20,4,7,3
2016-09,24,15,5,6,3
2016-10,42,15,5,5,3
2016-11,20,17,5,7,3
2016-12,21,18,4,6,3
2017-01,19,14,4,5,2
2017-02,16,12,4,4,2
2017-03,14,10,3,4,2
2017-04,20,12,3,9,3
2017-05,17,11,3,6,4
2017-06,15,11,5,4,2
2017-07,17,12,3,4,2
2017-08,14,14,3,4,2
2017-09,17,31,6,4,2
2017-10,18,15,6,5,3
2017-11,20,12,5,4,3
2017-12,15,14,6,3,3
2018-01,23,17,6,5,3
2018-02,20,36,5,5,3
2018-03,15,12,5,4,3
2018-04,18,10,23,4,3
2018-05,17,11,8,6,2
2018-06,16,7,4,4,2
2018-07,15,16,4,4,3
2018-08,17,12,4,5,5
2018-09,13,8,3,6,3
2018-10,15,8,3,3,2
2018-11,14,8,4,4,2
2018-12,13,9,3,4,2
2019-01,12,10,3,4,2
2019-02,12,14,9,5,2
2019-03,11,13,7,3,2
2019-04,13,7,4,3,3
2019-05,17,8,3,3,2
2019-06,11,8,4,3,2
2019-07,10,8,3,3,2
2019-08,10,9,2,2,1
2019-09,11,9,2,3,2
2019-10,11,15,2,3,1
2019-11,11,9,2,3,1
2019-12,11,8,2,5,2
2020-01,9,8,2,3,1
2020-02,9,7,2,3,1
2020-03,9,7,2,3,2
2020-04,12,10,3,4,3
2020-05,10,11,5,4,2
2020-06,11,9,3,4,2
2020-07,16,8,3,3,2
2020-08,9,9,2,4,2
2020-09,10,7,3,3,2
2020-10,11,7,3,3,2
2020-11,8,7,3,4,1
2020-12,9,7,2,3,1
2021-01,17,6,2,3,2
2021-02,12,6,2,5,2
2021-03,9,6,3,4,2
2021-04,10,6,10,4,4
2021-05,9,6,3,4,2
2021-06,10,6,3,4,2
2021-07,8,6,2,4,2
2021-08,8,9,2,3,2
2021-09,13,10,2,4,3
2021-10,10,6,2,3,4
2021-11,15,8,2,4,2
2021-12,11,6,3,3,2
2022-01,12,6,3,4,2
2022-02,13,8,2,4,2
2022-03,12,6,2,3,2
2022-04,14,7,3,4,4
2022-05,18,8,3,5,7
2022-06,13,6,4,4,3
2022-07,10,5,4,3,2
2022-08,13,6,3,3,2
2022-09,10,5,4,3,2
2022-10,10,6,3,3,2
2022-11,9,5,2,3,1
2022-12,8,4,2,2,1
2023-01,7,6,2,3,1
2023-02,6,5,1,3,1
2023-03,6,5,1,3,1
